technician_id,department,certification_level,years_experience ,base,active,hourly_rate
TECH-0001,AirFrame,Level 3,2,"Hill AFB, UT ",1,80
TECH-0002,AirFrame,Lead Technician,19,Langley AFB VA,1,100
TECH-0003,AirFrame,Level 1,10,Langley AFB VA,1,45
TECH-0004,Avionics,Lead Technician,5,Nellis AFB NV,1,100
TECH-0005,Life Support,Level 3,1,Eglin AFB FL,1,80
TECH-0006,Electrical,Level 1,6,Langley AFB VA,1,45
TECH-0007,Life Support,Level 2,17,Nellis AFB NV,1,60
TECH-0008,Avionics,Level 3,1,"Hill AFB, UT ",1,80
TECH-0009,Electrical,Level 2,16,Langley AFB VA,0,60
TECH-0010,Life Support,Senior Technician,10,Nellis AFB NV,1,130
TECH-0011,AirFrame,Level 2,11,Nellis AFB NV,1,60
TECH-0012,Hydraulics,Level 3,18,Edwards AFB CA,1,80
TECH-0013,Electrical,Level 2,6,"Hill AFB, UT ",1,60
TECH-0014,Weapons Systems,Lead Technician,19,Edwards AFB CA,0,100
TECH-0015,Weapons Systems,Level 3,5,Eglin AFB FL,1,80
TECH-0016,Propulsion,Level 1,0,Edwards AFB CA,1,45
TECH-0017,Electrical,Level 1,16,Edwards AFB CA,1,45
TECH-0018,Hydraulics,Level 1,10,Langley AFB VA,1,45
TECH-0019,Avionics,Level 1,17,Nellis AFB NV,1,45
TECH-0020,AirFrame,Level 1,16,"Hill AFB, UT ",1,45
TECH-0021,Propulsion,Level 3,6,Edwards AFB CA,1,80
TECH-0022,Weapons Systems,Level 2,16,"Hill AFB, UT ",1,60
TECH-0023,Avionics,Level 3,19,Edwards AFB CA,1,80
TECH-0024,Avionics,Lead Technician,8,Eglin AFB FL,1,100
TECH-0025,AirFrame,Level 3,16,Edwards AFB CA,1,80
TECH-0026,Electrical,Level 3,19,Langley AFB VA,1,80
TECH-0027,Weapons Systems,Level 3,7,Nellis AFB NV,1,80
TECH-0028,Hydraulics,Level 2,16,Eglin AFB FL,1,60
TECH-0029,Avionics,Level 1,6,Edwards AFB CA,1,45
TECH-0030,AirFrame,Level 1,0,"Hill AFB, UT ",1,45
TECH-0031,Hydraulics,Level 2,12,Eglin AFB FL,1,60
TECH-0032,Electrical,Level 2,18,Eglin AFB FL,1,60
TECH-0033,Weapons Systems,Level 1,18,Edwards AFB CA,1,45
TECH-0034,Electrical,Lead Technician,16,Eglin AFB FL,1,100
TECH-0035,Avionics,Level 3,12,"Hill AFB, UT ",1,80
TECH-0036,Hydraulics,Level 1,15,Eglin AFB FL,1,45
TECH-0037,Hydraulics,Level 2,7,"Hill AFB, UT ",1,60
TECH-0038,Hydraulics,Level 1,18,Edwards AFB CA,1,45
TECH-0039,Avionics,Level 2,17,Nellis AFB NV,1,60
TECH-0040,Avionics,Level 2,0,Eglin AFB FL,1,60
TECH-0041,Electrical,Lead Technician,13,Nellis AFB NV,1,100
TECH-0042,Propulsion,Level 2,18,"Hill AFB, UT ",1,60
TECH-0043,Electrical,Lead Technician,14,Eglin AFB FL,1,100
TECH-0044,Weapons Systems,Senior Technician,17,Langley AFB VA,0,130
TECH-0045,AirFrame,Level 1,1,Nellis AFB NV,1,45
TECH-0046,Hydraulics,Level 3,16,Eglin AFB FL,1,80
TECH-0047,Propulsion,Level 3,17,Nellis AFB NV,1,80
TECH-0048,AirFrame,Level 2,5,Eglin AFB FL,1,60
TECH-0049,Propulsion,Level 2,18,Edwards AFB CA,1,60
TECH-0050,Life Support,Level 3,3,Nellis AFB NV,1,80
TECH-0051,Electrical,Level 3,0,Langley AFB VA,1,80
TECH-0052,Avionics,Lead Technician,7,Langley AFB VA,0,100
TECH-0053,Hydraulics,Lead Technician,6,"Hill AFB, UT ",1,100
TECH-0054,Electrical,Level 3,2,Eglin AFB FL,1,80
TECH-0055,AirFrame,Senior Technician,9,Nellis AFB NV,1,130
TECH-0056,Life Support,Level 3,9,"Hill AFB, UT ",1,80
TECH-0057,Life Support,Level 3,18,Nellis AFB NV,1,80
TECH-0058,Life Support,Level 3,13,Eglin AFB FL,1,80
TECH-0059,AirFrame,Level 1,1,Langley AFB VA,1,45
TECH-0060,AirFrame,Level 3,0,Edwards AFB CA,1,80
TECH-0061,AirFrame,Level 2,17,Langley AFB VA,1,60
TECH-0062,AirFrame,Level 2,6,"Hill AFB, UT ",1,60
