aircraft_ids,aircraft_type,base,year_built,total_flight_hours,age_year,wear_score
AC-0001,AH-64E,Nellis AFB NV,2020,1166,4,0.125
AC-0002,C-130J,Nellis AFB NV,2022,384,2,0.053
AC-0003,F-22A,Edwards AFB CA,2000,496,24,0.425
AC-0004,CH-53K,"Hill AFB, UT ",2002,111,22,0.372
AC-0005,AH-64E,Edwards AFB CA,2017,598,7,0.147
AC-0006,E-3 Sentry,Nellis AFB NV,2009,853,15,0.293
AC-0007,F-35C,Eglin AFB FL,2021,134,3,0.057
AC-0008,AH-64E,Langley AFB VA,2002,826,22,0.408
AC-0009,F-22A,Nellis AFB NV,2007,948,17,0.331
AC-0010,CH-53K,Edwards AFB CA,2013,189,11,0.193
AC-0011,C-130J,Langley AFB VA,2017,875,7,0.16
AC-0012,F-22A,Edwards AFB CA,2014,704,10,0.202
AC-0013,F-22A,Edwards AFB CA,2021,1069,3,0.103
AC-0014,F-35C,Eglin AFB FL,2022,1121,2,0.089
AC-0015,UH-60M,Langley AFB VA,2001,517,23,0.409
AC-0016,CH-53K,Langley AFB VA,2009,214,15,0.261
AC-0017,F-35B,Eglin AFB FL,2001,716,23,0.419
AC-0018,F-22A,Nellis AFB NV,2016,925,8,0.18
AC-0019,UH-60M,Edwards AFB CA,2007,1198,17,0.343
AC-0020,F-35B,"Hill AFB, UT ",2000,512,24,0.426
AC-0021,CH-53K,Edwards AFB CA,2008,828,16,0.308
AC-0022,F-35A,Edwards AFB CA,2010,1120,14,0.289
AC-0023,E-3 Sentry,Nellis AFB NV,2021,860,3,0.093
AC-0024,UH-60M,Edwards AFB CA,2015,775,9,0.189
AC-0025,B-1B,Eglin AFB FL,2006,556,18,0.328
AC-0026,F-35A,Eglin AFB FL,2009,1019,15,0.301
AC-0027,E-3 Sentry,Langley AFB VA,2022,291,2,0.048
AC-0028,F-35C,"Hill AFB, UT ",2002,838,22,0.409
AC-0029,AH-64E,Edwards AFB CA,2017,1077,7,0.171
AC-0030,C-130J,Edwards AFB CA,2012,1108,12,0.255
AC-0031,B-1B,Nellis AFB NV,2006,195,18,0.31
AC-0032,F-35C,Eglin AFB FL,2003,762,21,0.388
AC-0033,CH-53K,"Hill AFB, UT ",2012,136,12,0.207
AC-0034,F-35C,Langley AFB VA,2019,378,5,0.102
AC-0035,AH-64E,Eglin AFB FL,2000,316,24,0.416
AC-0036,CH-53K,Langley AFB VA,2007,966,17,0.332
AC-0037,B-1B,Nellis AFB NV,2013,972,11,0.232
AC-0038,AH-64E,Nellis AFB NV,2015,161,9,0.158
AC-0039,F-35B,Edwards AFB CA,2013,695,11,0.218
AC-0040,C-130J,"Hill AFB, UT ",2011,828,13,0.258
AC-0041,B-1B,Langley AFB VA,2018,496,6,0.125
AC-0042,F-35B,Eglin AFB FL,2022,798,2,0.073
AC-0043,E-3 Sentry,Nellis AFB NV,2014,1142,10,0.224
AC-0044,B-1B,Edwards AFB CA,2001,276,23,0.397
AC-0045,E-3 Sentry,Edwards AFB CA,2001,495,23,0.408
AC-0046,CH-53K,Langley AFB VA,2022,544,2,0.061
AC-0047,F-35B,Nellis AFB NV,2021,175,3,0.059
AC-0048,C-130J,"Hill AFB, UT ",2018,364,6,0.118
AC-0049,AH-64E,Nellis AFB NV,2021,554,3,0.078
AC-0050,F-22A,Langley AFB VA,2021,817,3,0.091
AC-0051,F-35C,Langley AFB VA,2016,834,8,0.175
