log_id,aircraft_id,technician_id,maintenance_type,status,cost_usd,duration_hours,log_date,parts_replaced,notes,year,quarter,failure_within_30d
LOG-00001,AC-0024,TECH-0170,Avionics Check,complete,9982.0,8.5,2021-01-01,3,No notes provided,2021,1,0
LOG-00002,AC-0148,TECH-0090,Avionics Check,complete,11213.0,13.4,2021-01-01,4,Replaced worn components — within tolerance,2021,1,0
LOG-00003,AC-0037,TECH-0139,Software Update,complete,1729.5,5.6,2021-01-01,4,No notes provided,2021,1,0
LOG-00004,AC-0004,TECH-0072,Landing Gear Service,complete,4857.0,9.8,2021-01-01,7,Emergency repair required — grounded aircraft,2021,1,0
LOG-00005,AC-0108,TECH-0067,Hydraulic System Repair,failed,5792.0,61.3,2021-01-01,3,Follow-up inspection required within 30 days,2021,1,1
LOG-00006,AC-0126,TECH-0130,Engine Inspection,complete,18732.0,5.0,2021-01-01,9,Scheduled maintenance — no anomalies,2021,1,0
LOG-00007,AC-0020,TECH-0194,Structural Inspection,failed,2775.0,15.7,2021-01-01,5,Replaced worn components — within tolerance,2021,1,1
LOG-00008,AC-0050,TECH-0026,Engine Inspection,complete,22764.0,4.4,2021-01-01,6,Emergency repair required — grounded aircraft,2021,1,1
LOG-00009,AC-0096,TECH-0076,Fuel System Check,complete,5487.0,13.9,2021-01-01,1,No notes provided,2021,1,1
LOG-00010,AC-0105,TECH-0037,Tire & Brake Replacement,complete,4024.0,5.9,2021-01-01,5,No notes provided,2021,1,0
LOG-00011,AC-0117,TECH-0036,Tire & Brake Replacement,complete,2419.0,3.7,2021-01-01,10,Routine check completed successfully,2021,1,0
LOG-00012,AC-0098,TECH-0016,Avionics Check,pending,9982.0,11.1,2021-01-01,0,Follow-up inspection required within 30 days,2021,1,0
LOG-00013,AC-0066,TECH-0078,Tire & Brake Replacement,complete,1693.0,10.3,2021-01-01,10,No notes provided,2021,1,1
LOG-00014,AC-0079,TECH-0066,Hydraulic System Repair,pending,13045.0,10.3,2021-01-01,6,Issue found during inspection — escalated,2021,1,0
LOG-00015,AC-0006,TECH-0021,Engine Inspection,complete,9284.0,5.9,2021-01-01,10,Routine check completed successfully,2021,1,0
LOG-00016,AC-0039,TECH-0135,Engine Inspection,complete,20845.0,8.4,2021-01-01,9,Part ordered — awaiting delivery,2021,1,1
LOG-00017,AC-0115,TECH-0139,Avionics Check,complete,6976.0,14.6,2021-01-01,11,Emergency repair required — grounded aircraft,2021,1,0
LOG-00018,AC-0125,TECH-0184,Fuel System Check,complete,5602.0,10.7,2021-01-01,0,No notes provided,2021,1,0
LOG-00019,AC-0012,TECH-0172,Fuel System Check,complete,4832.0,7.5,2021-01-01,4,Replaced worn components — within tolerance,2021,1,0
LOG-00020,AC-0131,TECH-0054,Avionics Check,failed,9195.0,16.7,2021-01-01,9,No notes provided,2021,1,1
LOG-00021,AC-0018,TECH-0093,Engine Inspection,pending,13077.0,2.0,2021-01-01,3,Part ordered — awaiting delivery,2021,1,0
LOG-00022,AC-0040,TECH-0185,Fuel System Check,pending,2609.0,5.5,2021-01-01,10,Issue found during inspection — escalated,2021,1,0
LOG-00023,AC-0021,TECH-0058,Engine Inspection,complete,19740.0,9.1,2021-01-01,0,No notes provided,2021,1,0
LOG-00024,AC-0143,TECH-0037,Tire & Brake Replacement,complete,4558.0,10.8,2021-01-01,10,Replaced worn components — within tolerance,2021,1,0
LOG-00025,AC-0099,TECH-0120,Software Update,complete,2862.0,8.4,2021-01-01,11,Part ordered — awaiting delivery,2021,1,1
LOG-00026,AC-0026,TECH-0176,Landing Gear Service,failed,11705.0,50.3,2021-01-01,8,No notes provided,2021,1,1
LOG-00027,AC-0008,TECH-0190,Hydraulic System Repair,failed,17153.0,47.9,2021-01-01,4,Routine check completed successfully,2021,1,1
LOG-00028,AC-0100,TECH-0039,Avionics Check,complete,12122.0,9.5,2021-01-01,2,Replaced worn components — within tolerance,2021,1,0
LOG-00029,AC-0087,TECH-0192,Structural Inspection,failed,3556.0,19.0,2021-01-01,8,Routine check completed successfully,2021,1,1
LOG-00030,AC-0042,TECH-0104,Software Update,in_progress,1336.0,16.4,2021-01-01,4,Emergency repair required — grounded aircraft,2021,1,0
LOG-00031,AC-0014,TECH-0068,Structural Inspection,complete,5075.0,7.6,2021-01-01,1,Follow-up inspection required within 30 days,2021,1,0
LOG-00032,AC-0078,TECH-0068,Tire & Brake Replacement,complete,2932.0,4.4,2021-01-01,0,No notes provided,2021,1,0
LOG-00033,AC-0002,TECH-0155,Avionics Check,complete,9439.0,14.4,2021-01-01,3,No notes provided,2021,1,0
LOG-00034,AC-0119,TECH-0198,Fuel System Check,in_progress,3061.0,28.6,2021-01-01,6,No notes provided,2021,1,0
LOG-00035,AC-0037,TECH-0104,Hydraulic System Repair,complete,9003.0,5.5,2021-01-01,11,Issue found during inspection — escalated,2021,1,0
LOG-00036,AC-0069,TECH-0060,Tire & Brake Replacement,complete,3139.0,4.3,2021-01-01,2,No notes provided,2021,1,1
