log_id,aircraft_id,technician_id,maintenance_type,status,cost_usd,duration_hours,log_date,parts_replaced,notes
LOG-00001,AC-0024,TECH-0170,Avionics Check,complete,6638,8.5,2021-01-01,3,
LOG-00002,AC-0148,TECH-0090,Avionics Check,complete,11213,13.4,2021-01-01,4,Replaced worn components — within tolerance
LOG-00003,AC-0037,TECH-0139,Software Update,complete,2666,5.6,2021-01-01,4,
LOG-00004,AC-0004,TECH-0072,Landing Gear Service,complete,4857,9.8,2021-01-01,7,Emergency repair required — grounded aircraft
LOG-00005,AC-0108,TECH-0067,Hydraulic System Repair,failed,5792,61.3,2021-01-01,3,Follow-up inspection required within 30 days
LOG-00006,AC-0126,TECH-0130,Engine Inspection,complete,18732,5.0,2021-01-01,9,Scheduled maintenance — no anomalies
LOG-00007,AC-0020,TECH-0194,Structural Inspection,failed,2775,15.7,2021-01-01,5,Replaced worn components — within tolerance
LOG-00008,AC-0050,TECH-0026,Engine Inspection,complete,22764,4.4,2021-01-01,6,Emergency repair required — grounded aircraft
LOG-00009,AC-0096,TECH-0076,Fuel System Check,complete,5487,13.9,2021-01-01,1,
LOG-00010,AC-0105,TECH-0037,Tire & Brake Replacement,complete,4024,5.9,2021-01-01,5,
LOG-00011,AC-0117,TECH-0036,Tire & Brake Replacement,complete,2419,3.7,2021-01-01,10,Routine check completed successfully
LOG-00012,AC-0098,TECH-0016,Avionics Check,pending,9039,11.1,2021-01-01,0,Follow-up inspection required within 30 days
LOG-00013,AC-0066,TECH-0078,Tire & Brake Replacement,complete,1693,10.3,2021-01-01,10,
LOG-00014,AC-0079,TECH-0066,Hydraulic System Repair,pending,13045,10.3,2021-01-01,6,Issue found during inspection — escalated
LOG-00015,AC-0006,TECH-0021,Engine Inspection,complete,9284,5.9,2021-01-01,10,Routine check completed successfully
LOG-00016,AC-0039,TECH-0135,Engine Inspection,complete,20845,8.4,2021-01-01,9,Part ordered — awaiting delivery
LOG-00017,AC-0115,TECH-0139,Avionics Check,complete,6976,14.6,2021-01-01,11,Emergency repair required — grounded aircraft
LOG-00018,AC-0125,TECH-0184,Fuel System Check,complete,5602,10.7,2021-01-01,0,
LOG-00019,AC-0012,TECH-0172,Fuel System Check,complete,4832,7.5,2021-01-01,4,Replaced worn components — within tolerance
LOG-00020,AC-0131,TECH-0054,Avionics Check,pending,9195,16.7,2021-01-01,9,
LOG-00021,AC-0018,TECH-0093,Engine Inspection,pending,13077,2.0,2021-01-01,3,Part ordered — awaiting delivery
LOG-00022,AC-0040,TECH-0185,Fuel System Check,pending,2609,5.5,2021-01-01,10,Issue found during inspection — escalated
LOG-00023,AC-0021,TECH-0058,Engine Inspection,complete,19740,9.1,2021-01-01,0,
LOG-00024,AC-0143,TECH-0037,Tire & Brake Replacement,complete,4558,10.8,2021-01-01,10,Replaced worn components — within tolerance
LOG-00025,AC-0099,TECH-0120,Software Update,complete,2862,8.4,2021-01-01,11,Part ordered — awaiting delivery
LOG-00026,AC-0026,TECH-0176,Landing Gear Service,failed,11705,50.3,2021-01-01,8,
LOG-00027,AC-0008,TECH-0190,Hydraulic System Repair,failed,17153,47.9,2021-01-01,4,Routine check completed successfully
LOG-00028,AC-0100,TECH-0039,Avionics Check,complete,12122,9.5,2021-01-01,2,Replaced worn components — within tolerance
LOG-00029,AC-0087,TECH-0192,Structural Inspection,failed,3556,19.0,2021-01-01,8,Routine check completed successfully
LOG-00030,AC-0042,TECH-0104,Software Update,in_progress,1336,16.4,2021-01-01,4,Emergency repair required — grounded aircraft
LOG-00031,AC-0014,TECH-0068,Structural Inspection,complete,5075,7.6,2021-01-01,1,Follow-up inspection required within 30 days
LOG-00032,AC-0078,TECH-0068,Tire & Brake Replacement,complete,3567,4.4,2021-01-01,0,
LOG-00033,AC-0002,TECH-0155,Avionics Check,complete,9439,14.4,2021-01-01,3,
LOG-00034,AC-0119,TECH-0198,Fuel System Check,in_progress,3061,28.6,2021-01-01,6,
LOG-00035,AC-0037,TECH-0104,Hydraulic System Repair,complete,9003,5.5,2021-01-01,11,Issue found during inspection — escalated
LOG-00036,AC-0069,TECH-0060,Tire & Brake Replacement,complete,3139,4.3,2021-01-01,2,
LOG-00037,AC-0041,TECH-0172,Fuel System Check,complete,4871,6.9,2021-01-01,5,Scheduled maintenance — no anomalies
LOG-00038,AC-0062,TECH-0158,Tire & Brake Replacement,complete,1926,1.5,2021-01-01,4,All systems nominal post-maintenance
LOG-00039,AC-0060,TECH-0186,Tire & Brake Replacement,complete,3098,14.5,2021-01-01,3,Emergency repair required — grounded aircraft
LOG-00040,AC-0125,TECH-0126,Structural Inspection,failed,3360,21.9,2021-01-01,9,Issue found during inspection — escalated
LOG-00041,AC-0111,TECH-0123,Tire & Brake Replacement,complete,4994,4.4,2021-01-01,5,
LOG-00042,AC-0014,TECH-0036,Tire & Brake Replacement,pending,3024,10.1,2021-01-01,1,Issue found during inspection — escalated
LOG-00043,AC-0084,TECH-0133,Tire & Brake Replacement,complete,1748,9.7,2021-01-01,9,Part ordered — awaiting delivery
LOG-00044,AC-0130,TECH-0124,Landing Gear Service,in_progress,8706,16.3,2021-01-01,1,
LOG-00045,AC-0070,TECH-0147,Avionics Check,complete,7744,8.5,2021-01-01,6,All systems nominal post-maintenance
LOG-00046,AC-0145,TECH-0140,Structural Inspection,failed,7372,64.2,2021-01-01,7,
LOG-00047,AC-0123,TECH-0090,Software Update,complete,1074,13.2,2021-01-02,2,Scheduled maintenance — no anomalies
LOG-00048,AC-0089,TECH-0188,Structural Inspection,complete,3049,1.2,2021-01-02,11,
LOG-00049,AC-0028,TECH-0083,Fuel System Check,failed,2631,39.9,2021-01-02,7,
LOG-00050,AC-0066,TECH-0139,Avionics Check,complete,10665,12.1,2021-01-02,7,Routine check completed successfully
LOG-00051,AC-0005,TECH-0053,Hydraulic System Repair,complete,10387,11.5,2021-01-02,5,Part ordered — awaiting delivery
LOG-00052,AC-0045,TECH-0020,Fuel System Check,complete,4878,6.4,2021-01-02,9,
